V_1;pH_1;V0_1;m_1;V_2;pH_2;V0_2;m_2
1;2.57;1;0.104;7;2.6;7;0.1459
1.5;2.62;;;8;2.68;;
2;2.72;;;9;2.81;;
;2.82;;;10;2.98;;
3;2.95;;;10.2;3.04;;
3.5;3.11;;;10.4;3.08;;
4;3.29;;;10.6;3.12;;
4.5;3.52;;;10.8;3.17;;
5;3.89;;;11;3.22;;
5.2;4.3;;;11.1;3.24;;
5.3;4.84;;;11.2;3.27;;
5.5;9.77;;;11.3;3.29;;
5.6;10.35;;;11.4;3.33;;
5.7;10.63;;;11.5;3.36;;
6;10.97;;;11.6;3.38;;
7;11.41;;;11.7;3.41;;
;;;;11.8;3.45;;
;;;;11.9;3.49;;
;;;;12;3.52;;
;;;;12.1;3.56;;
;;;;12.2;3.63;;
;;;;12.3;3.66;;
;;;;12.4;3.72;;
;;;;12.6;3.82;;
;;;;12.7;3.95;;
;;;;12.8;3.98;;
;;;;12.9;4.11;;
;;;;13;4.38;;
;;;;13.1;4.75;;
;;;;13.2;6.16;;
;;;;13.3;9.79;;
;;;;13.4;9.94;;
;;;;13.5;9.95;;
;;;;14;10.73;;
