V_AgNO3;Conductivity
0;1.821
0.6;1.801
1.2;1.788
1.5;1.788
1.7;1.769
1.9;1.763
2;1.759
2.2;1.753
2.6;1.744
2.8;1.739
3;1.732
3.2;1.726
3.3;1.724
3.4;1.72
3.5;1.714
3.6;1.711
3.7;1.708
3.8;1.706
3.9;1.703
4;1.702
4.1;1.697
4.2;1.696
4.3;1.694
4.4;1.69
4.5;1.685
4.6;1.654
4.7;1.689
4.8;1.678
4.9;1.68
5;1.678
5.1;1.671
5.2;1.67
5.3;1.666
5.4;1.663
5.5;1.671
5.6;1.665
5.8;1.703
5.9;1.728
6;1.729
6.1;1.761
6.2;1.784
6.3;1.808
6.4;1.82
6.5;1.844
6.6;1.869
6.7;1.891
6.8;1.906
6.9;1.933
7;1.954
7.1;1.973
7.2;1.996
7.3;2.016
7.4;2.032
7.5;2.061
7.6;2.078
7.7;2.096
7.8;2.112
7.9;2.136
8;2.161
8.1;2.181
8.2;2.21
8.3;2.238
8.4;2.254
8.6;2.297
8.7;2.329
8.8;2.34
8.9;2.365
9;2.379
9.1;2.405
9.2;2.422
9.3;2.441
9.4;2.465
9.5;2.486
9.7;2.523
9.9;2.562
10;2.588
10.5;2.708
10.7;2.771
10.9;2.775
11;2.821
